6;150;1.8;24;30;120;3.4;15;;
7;150;1.8;24;30;120;9.7;5;;
6;170;1.8;24;30;120;7.4;23;;
7;170;1.8;24;30;120;10.6;8;;
6;150;2.4;24;30;120;6.5;20;;
7;150;2.4;24;30;120;7.9;9;;
6;170;2.4;24;30;120;10.3;13;;
7;170;2.4;24;30;120;9.5;5;;
6;150;1.8;36;30;120;14.3;23;;
7;150;1.8;36;30;120;10.5;1;;
6;170;1.8;36;30;120;7.8;11;;
7;170;1.8;36;30;120;17.2;5;;
6;150;2.4;36;30;120;9.4;15;;
7;150;2.4;36;30;120;12.1;8;;
6;170;2.4;36;30;120;9.5;15;;
7;170;2.4;36;30;120;15.8;1;;
6;150;1.8;24;42;120;8.3;22
7;150;1.8;24;42;120;8;8
6;170;1.8;24;42;120;7.9;16
7;170;1.8;24;42;120;10.7;7
6;150;2.4;24;42;120;7.2;25
7;150;2.4;24;42;120;7.2;5
6;170;2.4;24;42;120;7.9;17
7;170;2.4;24;42;120;10.2;8
6;150;1.8;36;42;120;10.3;10
7;150;1.8;36;42;120;9.9;3
6;170;1.8;36;42;120;7.4;22
7;170;1.8;36;42;120;10.5;6
6;150;2.4;36;42;120;9.6;24
7;150;2.4;36;42;120;15.1;4
6;170;2.4;36;42;120;8.7;10
7;170;2.4;36;42;120;12.1;5
6;150;1.8;24;30;130;12.6;32
7;150;1.8;24;30;130;10.5;10
6;170;1.8;24;30;130;11.3;28
7;170;1.8;24;30;130;10.6;18
6;150;2.4;24;30;130;8.1;22
7;150;2.4;24;30;130;12.5;31
6;170;2.4;24;30;130;11.1;17
7;170;2.4;24;30;130;12.9;16
6;150;1.8;36;30;130;14.6;38
7;150;1.8;36;30;130;12.7;12
6;170;1.8;36;30;130;10.8;34
7;170;1.8;36;30;130;17.1;19
6;150;2.4;36;30;130;13.6;12
7;150;2.4;36;30;130;14.6;14
6;170;2.4;36;30;130;13.3;25
7;170;2.4;36;30;130;14.4;16
6;150;1.8;24;42;130;11;31
7;150;1.8;24;42;130;12.5;14
6;170;1.8;24;42;130;8.9;23
7;170;1.8;24;42;130;13.1;23
6;150;2.4;24;42;130;7.6;28
7;150;2.4;24;42;130;8.6;20
6;170;2.4;24;42;130;11.8;18
7;170;2.4;24;42;130;12.4;11
